ZIP,s01_bus,s16_bus,s24_bus,s26_bus,n01_bus,n13_bus,n15_bus,n16_bus,n34_bus,n35_bus,n36_bus,n37_bus,emp_cy,indarts_cy,indfood_cy,crmcytotc,hwfu18_o10,hwfu6_o10,medval_cy,avgval_cy,medval_fy,avgval_fy,acsmedval,medhinc_cy,avghinc_cy,pci_cy,mhigrwcyfy,acsavghinc,meddi_cy,avgdi_cy,acstotpop,medvalgrfy,medvalgrcy,havgmeddis,davgmeddis
92129,446.0,28.0,1.0,19.0,446.0,7.0,4.0,5.0,12.0,33.0,1.0,32.0,8536.0,106.0,531.0,22.0,1553.0,391.0,706961.0,740158.0,768643.0,794728.0,753815.0,124621.0,161417.0,56792.0,3.24,138093.0,102020.0,114229.0,16268.0,0.08724938539836653,-0.0621557515361839,1.2952528446020766,1.1196616382901559
92672,1537.0,122.0,25.0,31.0,1537.0,29.0,6.0,39.0,23.0,149.0,25.0,124.0,9192.0,314.0,1128.0,55.0,1214.0,319.0,1072889.0,1175612.0,1121633.0,1224692.0,1149472.0,96517.0,144265.0,60368.0,2.85,142989.0,78476.0,100506.0,16035.0,0.04543243016525459,-0.06662444441931216,1.4946952899977206,1.2807064490232807
92110,2017.0,176.0,23.0,65.0,2017.0,41.0,11.0,30.0,54.0,203.0,23.0,181.0,5655.0,244.0,607.0,75.0,889.0,311.0,917712.0,936384.0,969664.0,1013927.0,922201.0,80280.0,119593.0,46498.0,3.83,,64862.0,86015.0,13908.0,0.056610291016908336,-0.004867697098900241,1.4896799990035001,1.326102708786211
92004,76.0,6.0,7.0,1.0,76.0,4.0,1.0,0.0,3.0,13.0,7.0,6.0,347.0,15.0,26.0,60.0,45.0,8.0,228879.0,302061.0,389744.0,484007.0,259615.0,57587.0,91422.0,41568.0,6.92,127071.0,49505.0,68287.0,651.0,0.7028355470115344,-0.11839023788980649,1.5875182329652011,1.3793681573950631
92128,880.0,50.0,3.0,27.0,880.0,8.0,2.0,9.0,20.0,55.0,3.0,52.0,4756.0,65.0,65.0,41.0,713.0,167.0,730720.0,812240.0,804508.0,883880.0,671123.0,107818.0,159845.0,67911.0,2.53,134527.0,88389.0,109865.0,12580.0,0.10097971729292028,0.08880177135670904,1.4825309082814717,1.2429573481163028
92107,1017.0,90.0,7.0,38.0,1017.0,27.0,4.0,17.0,26.0,98.0,7.0,91.0,15444.0,595.0,1611.0,74.0,1053.0,435.0,890237.0,963985.0,937850.0,1032391.0,881821.0,94660.0,125301.0,61325.0,2.99,113562.0,75931.0,90745.0,25065.0,0.05348345049301423,0.009543876201773147,1.3236813471228912,1.195082442185113
92109,1733.0,197.0,27.0,65.0,1733.0,35.0,5.0,42.0,41.0,229.0,27.0,201.0,14992.0,492.0,1653.0,103.0,517.0,252.0,970232.0,1061416.0,1035519.0,1128450.0,952617.0,89990.0,122962.0,64522.0,3.31,121903.0,71882.0,88074.0,22326.0,0.06729002208747796,0.018491147553373964,1.3663810825526996,1.2252410166520595
91948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,150.0,1.0,0.0,687500.0,670000.0,791667.0,775000.0,275000.0,50000.0,74768.0,26494.0,11.43,83769.0,41420.0,58843.0,13.0,0.15151541597757676,1.4999945454743802,1.495330093398132,1.420607904203182
91931,6.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,54.0,5.0,9.0,137.0,8.0,2.0,518519.0,521635.0,601351.0,605000.0,375000.0,77283.0,85354.0,30407.0,1.7,75101.0,58889.0,66638.0,155.0,0.15974697215150813,0.3827163127564993,1.1044200610734434,1.1315673289183223
92036,13.0,0.0,2.0,0.0,13.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,378.0,4.0,38.0,60.0,53.0,5.0,787815.0,757613.0,874260.0,905916.0,385766.0,61299.0,65235.0,25683.0,2.7,76753.0,51565.0,52424.0,701.0,0.10972739827573952,1.0422068243266014,1.0641924959216966,1.0166388705736338
